task,file,filesize,status,memory,params,cost,score,error
task272,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task272.onnx,2039,ok,0,460,460.0,18.86877351051686,
task129,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task129.onnx,606,ok,448,18,466.0,18.855814365874355,
task167,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task167.onnx,1342,ok,445,51,496.0,18.793424073275073,
task314,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task314.onnx,2225,ok,0,500,500.0,18.78539190157781,
task322,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task322.onnx,2222,ok,0,510,510.0,18.76558927428163,
task373,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task373.onnx,509,ok,480,33,513.0,18.75972415482923,
task334,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task334.onnx,795,ok,554,37,591.0,18.6181839825939,
task236,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task236.onnx,652,ok,608,17,625.0,18.562248350263598,
task347,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task347.onnx,1132,ok,612,35,647.0,18.527653705499098,
task006,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task006.onnx,1133,ok,612,35,647.0,18.527653705499098,
task395,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task395.onnx,1175,ok,621,35,656.0,18.51383921105591,
task026,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task026.onnx,885,ok,660,16,676.0,18.483806923957037,
task150,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task150.onnx,577,ok,668,32,700.0,18.448919664956595,
task155,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task155.onnx,577,ok,668,32,700.0,18.448919664956595,
task318,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task318.onnx,731,ok,704,17,721.0,18.419360862715052,
task380,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task380.onnx,396,ok,720,8,728.0,18.409698951803314,
task339,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task339.onnx,1522,ok,634,108,742.0,18.39065075683262,
task111,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task111.onnx,1453,ok,772,17,789.0,18.329233679154125,
task249,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task249.onnx,946,ok,758,34,792.0,18.325438608185575,
task386,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task386.onnx,1175,ok,828,35,863.0,18.239585308916574,
task127,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task127.onnx,3772,ok,0,900,900.0,18.197605236675688,
task095,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task095.onnx,3797,ok,0,900,900.0,18.197605236675688,
task015,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task015.onnx,3774,ok,0,900,900.0,18.197605236675688,
task220,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task220.onnx,3798,ok,0,900,900.0,18.197605236675688,
task230,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task230.onnx,3798,ok,0,900,900.0,18.197605236675688,
task317,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task317.onnx,3798,ok,0,900,900.0,18.197605236675688,
task282,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task282.onnx,3798,ok,0,900,900.0,18.197605236675688,
task352,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task352.onnx,3851,ok,0,910,910.0,18.186555400489105,
task171,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task171.onnx,3825,ok,0,910,910.0,18.186555400489105,
task120,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task120.onnx,3836,ok,0,910,910.0,18.186555400489105,
task283,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task283.onnx,3825,ok,0,910,910.0,18.186555400489105,
task151,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task151.onnx,3880,ok,0,910,910.0,18.186555400489105,
task098,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task098.onnx,3836,ok,0,910,910.0,18.186555400489105,
task147,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task147.onnx,3825,ok,0,910,910.0,18.186555400489105,
task344,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task344.onnx,3851,ok,0,910,910.0,18.186555400489105,
task294,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task294.onnx,3825,ok,0,910,910.0,18.186555400489105,
task266,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task266.onnx,3825,ok,0,910,910.0,18.186555400489105,
task331,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task331.onnx,3836,ok,0,910,910.0,18.186555400489105,
task003,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task003.onnx,5814,ok,888,23,911.0,18.185457102740042,
task211,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task211.onnx,843,ok,960,26,986.0,18.106343645397367,
task257,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task257.onnx,1369,ok,1024,53,1077.0,18.01806532284361,
task227,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task227.onnx,1175,ok,1104,35,1139.0,17.96209403655282,
task106,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task106.onnx,2939,ok,1039,125,1164.0,17.940382371708615,
task399,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task399.onnx,1744,ok,912,272,1184.0,17.92334618455605,
task181,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task181.onnx,3083,ok,1108,86,1194.0,17.91493570604745,
task214,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task214.onnx,1181,ok,1140,54,1194.0,17.91493570604745,
task267,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task267.onnx,1202,ok,1160,47,1207.0,17.904106778902467,
task052,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task052.onnx,986,ok,1185,43,1228.0,17.886857891292912,
task235,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task235.onnx,3142,ok,1116,114,1230.0,17.885230551633537,
task114,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task114.onnx,4671,ok,1091,158,1249.0,17.869901489874422,
task072,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task072.onnx,1289,ok,1260,49,1309.0,17.8229812340901,
task229,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task229.onnx,1379,ok,1364,45,1409.0,17.74936448810132,
task389,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task389.onnx,6222,ok,0,1510,1510.0,17.680135070191028,
task152,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task152.onnx,703,ok,1440,81,1521.0,17.672876707740706,
task194,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task194.onnx,703,ok,1440,81,1521.0,17.672876707740706,
task142,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task142.onnx,703,ok,1440,81,1521.0,17.672876707740706,
task274,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task274.onnx,3123,ok,1220,389,1609.0,17.61663185300762,
task299,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task299.onnx,1405,ok,1644,62,1706.0,17.558093271948376,
task207,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task207.onnx,1808,ok,1744,46,1790.0,17.5100291011652,
task083,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task083.onnx,7454,ok,0,1800,1800.0,17.504458056115745,
task108,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task108.onnx,7454,ok,0,1800,1800.0,17.504458056115745,
task038,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task038.onnx,2559,ok,2136,38,2174.0,17.315675932318847,
task146,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task146.onnx,1894,ok_static,2232,24,2256.0,17.27865138738205,"NotImplemented(""[ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Max(12) node with name 'safe_name_37'"")"
task081,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task081.onnx,3749,ok,2198,109,2307.0,17.256296741826247,
task001,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task001.onnx,872,ok,2459,23,2482.0,17.18318003423545,
task122,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task122.onnx,10236,ok,0,2510,2510.0,17.17196196787417,
task104,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task104.onnx,3279,ok,1534,1001,2535.0,17.162051083974717,
task203,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task203.onnx,1988,ok,2828,40,2868.0,17.03862979828049,
task298,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task298.onnx,2015,ok,2838,30,2868.0,17.03862979828049,
task320,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task320.onnx,1258,ok,2880,133,3013.0,16.9893084608697,
task047,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task047.onnx,3091,ok,2988,36,3024.0,16.985664262700574,
task200,/Users/kaiikeda/Programming/Kaggle/Neuro Golf/solution/6411.33/task200.onnx,3689,ok,3192,63,3255.0,16.912052445357332,
